 ImageName,展品名称,30字简介
 _DSC6177,压电MEMS声振传感器,可用于麦克风、传声器等设备，或集成至消费类电子产品内部，实现声音监测功能。材料无铅，环保无害。
 _DSC6182,国产压电移相器,产品最大行程达9 um，循环寿命超10^9次，二代产品自重降低至45g，阶跃响应时间缩短至40 us。
 _DSC6169,压电多层声振器件,产品表面无需开孔，尺寸可设计，兼容铅基与无铅陶瓷，引入贱金属电极共烧工艺，物料成本可降低约30%。
 _DSC5993,无铅超声换能元件,作为核心元件应用于超声清洗、超声焊接、医用超声检测等领域。
 _DSC6016,高温压电陶瓷,可在500°C甚至更高温度条件下稳定工作，应用于高温传感领域。
 _DSC5978,无铅微网式雾化元件,医用超声雾化设备的核心元件，将药液雾化为可吸入液滴。
 _DSC6344,无铅雾化给药装置,全球首款无铅化医用雾化产品，为用户带来健康、安全、舒适的产品体验。
 _DSC6347,Cyclofect 转染试剂,首例可在细胞内迅速降解的高分子DNA/RNA转染试剂，兼具高转染效率和安全性。
_DSC6243,人工神经导管（鞘膜、端帽）,适应各类神经修复需求的多元产品，在48届日内瓦国际发明展获评审团特别嘉许金奖。
_DSC6244,人工神经导管（鞘膜、端帽）,适应各类神经修复需求的多元产品，在48届日内瓦国际发明展获评审团特别嘉许金奖。
_DSC6249,人工神经导管（鞘膜、端帽）,适应各类神经修复需求的多元产品，在48届日内瓦国际发明展获评审团特别嘉许金奖。
_DSC6251,人工神经导管（鞘膜、端帽）,适应各类神经修复需求的多元产品，在48届日内瓦国际发明展获评审团特别嘉许金奖。
_DSC6252,人工神经导管（鞘膜、端帽）,适应各类神经修复需求的多元产品，在48届日内瓦国际发明展获评审团特别嘉许金奖。
_DSC6264,离心风机,吹气离心风机
 _DSC6266,离心风机,抽气离心风机
 _DSC6261,离心风机,基于热电转换技术和静音离心风机技术结合的风机
_DSC6313,隔热垫b,产品有效解决高比能锂离子电池系统的热失控蔓延问题，已在电动车和储能电柜领域实现规模化应用。
 _DSC6227,隔热垫c,产品有效解决高比能锂离子电池系统的热失控蔓延问题，已在电动车和储能电柜领域实现规模化应用。
_DSC6230,隔热垫d,产品有效解决高比能锂离子电池系统的热失控蔓延问题，已在电动车和储能电柜领域实现规模化应用。
_DSC6330,电容器薄膜,该产品在耐温方面超过商用产品的50%，在储能密度方面超过商用产品的2倍。
_DSC6329,PTFE复合材料膜,陶瓷填充型 PTFE复合膜在通信、防水透气、航空航天等领域有广泛的应用。
_DSC6217,毫米波雷达,产品广泛应用于新能源汽车、机器人感知、智慧家居、飞行器制导等领域。
 _DSC6203,薄膜电容器,产品广泛应用于电磁弹射、新能源采集、汽车动力、电力运输等场景。
 _DSC6221,毫米波雷达,产品广泛应用于新能源汽车、机器人感知、智慧家居、飞行器制导等领域。
_DSC6223,毫米波雷达,产品广泛应用于新能源汽车、机器人感知、智慧家居、飞行器制导等领域。
_DSC6259,日内瓦国际发明展金奖奖牌,团队自主研发的气相合成技术荣获日内瓦国际发明展金奖。
_DSC6254,纳米粉体材料,钡铈锆钇镱（BCZYYb）是新一代固体氧化物燃料电池固态电解质的原材料。
_DSC6256,纳米粉体烧制的人造宝石, 通过尖晶石基纳米粉料的掺杂，成功制备出不同色系的人造宝石，其化学成分与天然宝石无异。
_DSC6238,日内瓦国际发明展金奖奖牌,团队自主研发的气相合成技术荣获日内瓦国际发明展金奖。
_DSC6274,碳纤维树脂基复合材料管,碳纤维树脂基复合材料管广泛应用于航空航天结构件、高端体育器材、工业机械臂等。
_DSC6276,碳纤维树脂基复合材料管,
 _DSC6278,碳纤维复合材料夹芯板,上下面板为碳纤维复合材料，中间粘结轻质芯材，广泛应用航空航天、轨道交通、船舶制造等。
_DSC6279,纤维增强超高温陶瓷基复合材料,以碳纤维为增强体，碳化硅陶瓷为基体的先进高性能材料，广泛应用于发动机喷管以及高超声速飞行器的鼻锥和翼前缘等关键部位。
_DSC6362,风机,利用风力发电，为电解水制氢提供可再生能源，推动绿氢的规模化生产。
 _DSC6335,氢燃料电池发电系统,该系统可双向运作，其高效能量转换与热电联供能力，适用于分布式能源与应急电源场景。
_DSC6349,氢能重卡,搭载燃料电池动力系统，续航超450公里，加氢仅需15分钟，年减排近万吨。
_DSC6337, 陶瓷手术刀,压电陶瓷材料具有正逆压电效应，广泛应用于航空航天、信息电子、医疗等领域。
 _DSC6373, 智能机械手,压电陶瓷材料具有正逆压电效应，广泛应用于航空航天、信息电子、工业机械等领域。
 _DSC6385, 压电传感元件,本系列产品可实现对加速度、压力、振动、声波等各类机械信号的收集、处理与反馈
 _DSC6386, KNN无铅压电薄膜,具有高均匀性、高结晶性等特点，广泛应用于微传感器、微驱动器、微电容器等领域。
 _DSC6376,KNN多层双晶片（贱金属镍内电极）,无铅压电陶瓷与镍电极构成多层双晶片，成本低、更环保，可用于精密致动、发声器件。
 _DSC6335, 车载逆变器,核心部件新型薄膜电容器，具有耐高温、宽频率适用范围、低损耗、长寿命的优点。
_DSC6397, 制冷制热通风一体座椅,可实现制冷、加热与通风一体化，通风迅速、结构紧凑、稳定性高。
_DSC6332,基于材料基因理念的高性能热成型钢,采用抗拉强度1700 MPa级工业量产钢材，已申请专利8项，授权专利4项。
_DSC6311,太赫兹滤波器,可在复杂频率组成的太赫兹波中筛选特定频率，应用于信号处理、荧光观察、光谱分析等。
_DSC6308,三维负热膨胀机械超材料,可实现负热膨胀和整体零热膨胀，避免仪器设备在极端温度下因热变形失效。
_DSC6271, 碳纤维树脂基复合材料管,碳纤维树脂基复合材料管广泛应用于航空航天结构件、高端体育器材、工业机械臂等。
_DSC6275, 碳纤维树脂基复合材料管,碳纤维树脂基复合材料管广泛应用于航空航天结构件、高端体育器材、工业机械臂等。
